api_spot_id,receive,type
127484,0.0,SPOT
250269,0.0,SPOT
126229,0.0,SPOT
2609821,0.0,SPOT
2756677,0.0,SPOT
231927,0.0,SPOT
1957348,0.0,SPOT
3501757,0.0,SPOT
127487,0.0,SPOT
971032,0.0,SPOT
126228,0.0,SPOT
590997,0.0,SPOT
2756611,0.0,SPOT
2997657,0.0,SPOT
3040311,0.0,SPOT
1621391,0.0,SPOT
2756668,0.0,SPOT
1826438,0.0,SPOT
3056679,0.0,SPOT
2702477,0.0,SPOT
2756567,0.0,SPOT
2784663,0.0,SPOT
126145,0.0,SPOT
2687981,0.0,SPOT
2717933,0.0,SPOT
125588,0.0,SPOT
2774703,0.0,SPOT
2702654,0.0,SPOT
2773857,0.0,SPOT
128758,0.0,SPOT
127975,0.0,SPOT
3454461,0.0,SPOT
1957344,0.0,SPOT
127633,0.0,SPOT
716272,0.0,SPOT
3429965,0.0,SPOT
294526,0.0,SPOT
126484,0.0,SPOT
1606042,0.0,SPOT
1604784,0.0,SPOT
1604824,0.0,SPOT
128988,0.0,SPOT
2611568,0.0,SPOT
3428372,0.0,SPOT
2782215,0.0,SPOT
1955991,0.0,SPOT
3045019,0.0,SPOT
1937772,0.0,SPOT
2654766,0.0,SPOT
1620625,0.0,SPOT
127263,0.0,SPOT
126725,0.0,SPOT
127982,0.0,SPOT
125817,0.0,SPOT
1938262,0.0,SPOT
1114077,0.0,SPOT
2570324,0.0,SPOT
294530,0.0,SPOT
228869,0.0,SPOT
126678,0.0,SPOT
125612,0.0,SPOT
126904,0.0,SPOT
525648,0.0,SPOT
2463907,0.0,SPOT
1956430,0.0,SPOT
1957346,0.0,SPOT
3034128,0.0,SPOT
297978,0.0,SPOT
1114780,0.0,SPOT
2675002,0.0,SPOT
1113230,0.0,SPOT
1114802,0.0,SPOT
2767503,0.0,SPOT
3457306,0.0,SPOT
297979,0.0,SPOT
125756,0.0,SPOT
126710,0.0,SPOT
2714728,0.0,SPOT
1624939,0.0,SPOT
2932026,0.0,SPOT
2775349,0.0,SPOT
2736374,0.0,SPOT
126164,0.0,SPOT
126879,0.0,SPOT
127825,0.0,SPOT
2462674,0.0,SPOT
3064998,0.0,SPOT
131279,0.0,SPOT
2703743,0.0,SPOT
127051,0.0,SPOT
2752416,0.0,SPOT
611948,0.0,SPOT
2732252,0.0,SPOT
3045925,0.0,SPOT
2616470,0.0,SPOT
2791433,0.0,SPOT
1826457,0.0,SPOT
127320,0.0,SPOT
127163,0.0,SPOT
3018261,0.0,SPOT
2736668,0.0,SPOT
814237,0.0,SPOT
2764950,0.0,SPOT
2865100,0.0,SPOT
129305,0.0,SPOT
3080268,0.0,SPOT
125881,0.0,SPOT
2614464,0.0,SPOT
126103,0.0,SPOT
2761583,0.0,SPOT
3056154,0.0,SPOT
2798965,0.0,SPOT
2798360,0.0,SPOT
127184,0.0,SPOT
128688,0.0,SPOT
531469,0.0,SPOT
2765284,0.0,SPOT
2754720,0.0,SPOT
128078,0.0,SPOT
126191,0.0,SPOT
250434,0.0,SPOT
127416,0.0,SPOT
128079,0.0,SPOT
128038,0.0,SPOT
127418,0.0,SPOT
250303,0.0,SPOT
3035933,0.0,SPOT
231926,0.0,SPOT
2629770,0.0,SPOT
2674946,0.0,SPOT
128077,0.0,SPOT
1956304,0.0,SPOT
128365,0.0,SPOT
297980,0.0,SPOT
2770458,0.0,SPOT
129109,0.0,SPOT
3545335,0.0,SPOT
129451,0.0,SPOT
125521,0.0,SPOT
2914808,0.0,SPOT
2613669,0.0,SPOT
2819599,0.0,SPOT
125875,0.0,SPOT
2733822,0.0,SPOT
1625224,0.0,SPOT
2771911,0.0,SPOT
2714642,0.0,SPOT
2795876,0.0,SPOT
127865,0.0,SPOT
1595802,0.0,SPOT
126005,0.0,SPOT
2608708,0.0,SPOT
553319,0.0,SPOT
2366500,0.0,SPOT
2478983,0.0,SPOT
3345112,0.0,SPOT
1682800,0.0,SPOT
1682895,0.0,SPOT
127937,0.0,SPOT
125901,0.0,SPOT
1955517,0.0,SPOT
1957969,0.0,SPOT
1957972,0.0,SPOT
126400,0.0,SPOT
2779522,0.0,SPOT
127533,0.0,SPOT
126991,0.0,SPOT
1612565,0.0,SPOT
1954763,0.0,SPOT
2661519,0.0,SPOT
2737273,0.0,SPOT
128272,0.0,SPOT
2747134,0.0,SPOT
297982,0.0,SPOT
2615225,0.0,SPOT
2749319,0.0,SPOT
125782,0.0,SPOT
3101704,0.0,SPOT
2774495,0.0,SPOT
127153,0.0,SPOT
3521198,0.0,SPOT
2613166,0.0,SPOT
231943,0.0,SPOT
2514847,0.0,SPOT
2782806,0.0,SPOT
2759606,0.0,SPOT
128664,0.0,SPOT
126795,0.0,SPOT
125804,0.0,SPOT
127041,0.0,SPOT
2613122,0.0,SPOT
2616507,0.0,SPOT
128171,0.0,SPOT
128946,0.0,SPOT
2782803,0.0,SPOT
3429327,0.0,SPOT
3072020,0.0,SPOT
297983,0.0,SPOT
127822,0.0,SPOT
1310884,0.0,SPOT
1955235,0.0,SPOT
3008310,0.0,SPOT
2514658,0.0,SPOT
1624855,0.0,SPOT
2647939,0.0,SPOT
2759120,0.0,SPOT
3378995,0.0,SPOT
125724,0.0,SPOT
2938541,0.0,SPOT
1621130,0.0,SPOT
1625238,0.0,SPOT
128139,0.0,SPOT
976680,0.0,SPOT
125549,0.0,SPOT
125551,0.0,SPOT
125552,0.0,SPOT
2736410,0.0,SPOT
2946746,0.0,SPOT
2456640,0.0,SPOT
3018653,0.0,SPOT
2663295,0.0,SPOT
3449335,0.0,SPOT
2732164,0.0,SPOT
250395,0.0,SPOT
2758465,0.0,SPOT
2736659,0.0,SPOT
127536,0.0,SPOT
2758467,0.0,SPOT
126170,0.0,SPOT
127852,0.0,SPOT
125630,0.0,SPOT
2774110,0.0,SPOT
1621158,0.0,SPOT
2746949,0.0,SPOT
2782726,0.0,SPOT
2702475,0.0,SPOT
801969,0.0,SPOT
126547,0.0,SPOT
799613,0.0,SPOT
128790,0.0,SPOT
128766,0.0,SPOT
1596337,0.0,SPOT
2720432,0.0,SPOT
3008542,0.0,SPOT
2719004,0.0,SPOT
2615234,0.0,SPOT
126391,0.0,SPOT
250309,0.0,SPOT
2779289,0.0,SPOT
126398,0.0,SPOT
2690525,0.0,SPOT
3436858,0.0,SPOT
128319,0.0,SPOT
1595965,0.0,SPOT
2591797,0.0,SPOT
2591799,0.0,SPOT
2715985,0.0,SPOT
1957981,0.0,SPOT
2755146,0.0,SPOT
128807,0.0,SPOT
2743336,0.0,SPOT
2453179,0.0,SPOT
2009156,0.0,SPOT
